"ch"	"sex"	
"1100"	"Female"
"1101"	"Male"
"1000"	"Female"
"1001"	"Male"
"1001"	"Female"
"1110"	"Male"
"1000"	"Male"
"0011"	"Male"
"0001"	"Male"
"0001"	"Male"
"1000"	"Female"
"1100"	"Female"
"0011"	"Female"
"1011"	"Male"
"0001"	"Female"
"1110"	"Male"
"0110"	"Male"
"1110"	"Male"
"1000"	"Female"
"1001"	"Male"
"1010"	"Male"
"1100"	"Male"
"0100"	"Male"
"0101"	"Male"
"1010"	"Female"
"0010"	"Male"
"1001"	"Female"
"0110"	"Female"
"0011"	"Female"
"0100"	"Male"
"0100"	"Female"
"1000"	"Female"
"1000"	"Female"
"1000"	"Female"
"1000"	"Female"
"1000"	"Male"
"0100"	"Female"
"0100"	"Male"
"0100"	"Female"
"0100"	"Male"
"0100"	"Male"
"0100"	"Male"
"0100"	"Male"
"0100"	"Female"
"0100"	"Female"
"0100"	"Male"
"0100"	"Female"
"0010"	"Male"
"0010"	"Male"
"0010"	"Male"
"0010"	"Male"
"0010"	"Male"
"0010"	"Male"
"0001"	"Female"
"0001"	"Male"
"0001"	"Female"
"0001"	"Female"
